khizarhussain16, 35903, 4, 2016-3-8 23:28:46
Avatar_ID: 3, x :17, y: 18
Avatar_ID: 0, x :28, y: 20
Avatar_ID: 1, x :12, y: 13
Avatar_ID: 2, x :4, y: 6
Avatar_ID: 3, x :17, y: 18
Avatar_ID: 0, x :28, y: 20
Avatar_ID: 1, x :12, y: 13
Avatar_ID: 2, x :3, y: 6
Avatar_ID: 3, x :17, y: 18
Avatar_ID: 0, x :29, y: 20
Avatar_ID: 1, x :13, y: 13
Avatar_ID: 2, x :3, y: 7
Avatar_ID: 3, x :18, y: 18
Avatar_ID: 0, x :29, y: 20
Avatar_ID: 1, x :13, y: 12
Avatar_ID: 2, x :4, y: 7
Avatar_ID: 3, x :18, y: 18
Avatar_ID: 0, x :30, y: 20
Avatar_ID: 1, x :12, y: 12
Avatar_ID: 2, x :4, y: 7
Avatar_ID: 3, x :19, y: 18
Avatar_ID: 0, x :30, y: 19
Avatar_ID: 1, x :12, y: 12
Avatar_ID: 2, x :4, y: 7
Avatar_ID: 3, x :19, y: 17
Avatar_ID: 0, x :30, y: 19
Avatar_ID: 1, x :12, y: 12
Avatar_ID: 2, x :4, y: 8
Avatar_ID: 3, x :19, y: 17
Avatar_ID: 0, x :30, y: 19
Avatar_ID: 1, x :12, y: 11
Avatar_ID: 2, x :5, y: 8
Avatar_ID: 3, x :19, y: 17
Avatar_ID: 0, x :31, y: 19
Avatar_ID: 1, x :12, y: 11
Avatar_ID: 2, x :5, y: 8
Avatar_ID: 3, x :20, y: 17
Avatar_ID: 0, x :31, y: 19
Avatar_ID: 1, x :12, y: 10
Avatar_ID: 2, x :6, y: 8
Avatar_ID: 3, x :20, y: 17
Avatar_ID: 0, x :32, y: 19
Avatar_ID: 1, x :12, y: 10
Avatar_ID: 2, x :6, y: 7
Avatar_ID: 3, x :20, y: 17
Avatar_ID: 0, x :32, y: 18
Avatar_ID: 1, x :12, y: 10
Avatar_ID: 2, x :6, y: 7
Avatar_ID: 3, x :20, y: 17
Avatar_ID: 0, x :32, y: 18
Avatar_ID: 1, x :13, y: 10
Avatar_ID: 2, x :6, y: 6
Avatar_ID: 3, x :19, y: 17
Avatar_ID: 0, x :32, y: 18
Avatar_ID: 1, x :13, y: 9
Avatar_ID: 2, x :6, y: 6
Avatar_ID: 3, x :19, y: 18
Avatar_ID: 0, x :33, y: 18
Avatar_ID: 1, x :13, y: 9
Avatar_ID: 2, x :6, y: 6
Avatar_ID: 3, x :20, y: 18
Avatar_ID: 0, x :33, y: 18
Avatar_ID: 1, x :13, y: 9
Avatar_ID: 2, x :7, y: 6
Avatar_ID: 3, x :20, y: 18
Avatar_ID: 0, x :33, y: 18
Avatar_ID: 1, x :13, y: 9
Avatar_ID: 2, x :7, y: 5
Avatar_ID: 3, x :21, y: 18
Avatar_ID: 0, x :33, y: 19
Avatar_ID: 1, x :13, y: 10
Avatar_ID: 2, x :7, y: 5
Avatar_ID: 3, x :21, y: 18
Avatar_ID: 0, x :33, y: 19
Avatar_ID: 1, x :13, y: 10
Avatar_ID: 2, x :7, y: 5
Avatar_ID: 3, x :21, y: 18
Avatar_ID: 0, x :33, y: 20
Avatar_ID: 1, x :13, y: 11
Avatar_ID: 2, x :8, y: 5
Avatar_ID: 3, x :21, y: 19
Avatar_ID: 0, x :34, y: 20
Avatar_ID: 1, x :14, y: 11
Avatar_ID: 2, x :8, y: 4
Avatar_ID: 3, x :22, y: 19
Avatar_ID: 0, x :34, y: 19
Avatar_ID: 1, x :14, y: 10
Avatar_ID: 2, x :8, y: 4
Avatar_ID: 3, x :22, y: 19
Avatar_ID: 0, x :34, y: 19
Avatar_ID: 1, x :14, y: 10
Avatar_ID: 2, x :8, y: 3
Avatar_ID: 3, x :22, y: 19
Avatar_ID: 0, x :34, y: 18
Avatar_ID: 1, x :14, y: 9
Avatar_ID: 2, x :8, y: 3
Avatar_ID: 3, x :22, y: 20
Avatar_ID: 0, x :34, y: 18
Avatar_ID: 1, x :14, y: 9
Avatar_ID: 2, x :8, y: 2
Avatar_ID: 3, x :22, y: 20
Avatar_ID: 0, x :34, y: 17
Avatar_ID: 1, x :14, y: 8
Avatar_ID: 2, x :7, y: 2
Avatar_ID: 3, x :22, y: 20
Avatar_ID: 0, x :34, y: 17
Avatar_ID: 1, x :13, y: 8
Avatar_ID: 2, x :7, y: 3
Avatar_ID: 3, x :22, y: 20
Avatar_ID: 0, x :34, y: 16
Avatar_ID: 1, x :13, y: 8
Avatar_ID: 2, x :7, y: 3
Avatar_ID: 3, x :22, y: 19
Avatar_ID: 0, x :34, y: 16
Avatar_ID: 1, x :12, y: 8
Avatar_ID: 2, x :7, y: 3
Avatar_ID: 3, x :21, y: 19
Avatar_ID: 0, x :34, y: 15
Avatar_ID: 1, x :12, y: 9
Avatar_ID: 2, x :6, y: 3
Avatar_ID: 3, x :21, y: 20
Avatar_ID: 0, x :33, y: 15
Avatar_ID: 1, x :12, y: 9
Avatar_ID: 2, x :6, y: 4
Avatar_ID: 3, x :21, y: 20
Avatar_ID: 0, x :33, y: 16
Avatar_ID: 1, x :12, y: 9
Avatar_ID: 2, x :7, y: 4
Avatar_ID: 3, x :21, y: 21
Avatar_ID: 0, x :33, y: 16
Avatar_ID: 1, x :11, y: 9
Avatar_ID: 2, x :7, y: 4
Avatar_ID: 3, x :21, y: 21
Avatar_ID: 0, x :33, y: 16
Avatar_ID: 1, x :11, y: 9
Avatar_ID: 2, x :7, y: 4
Avatar_ID: 3, x :21, y: 22
Avatar_ID: 0, x :32, y: 16
Avatar_ID: 1, x :11, y: 9
Avatar_ID: 2, x :7, y: 4
Avatar_ID: 3, x :21, y: 22
Avatar_ID: 0, x :32, y: 16
Avatar_ID: 1, x :11, y: 8
